"winner","round_type","ct","t"
"t","FORCE_BUY",14750,27950
"ct","NORMAL",23900,27050
"ct","NORMAL",28950,21550
"t","NORMAL",32100,19750
"t","NORMAL",26000,27150
"t","ECO",9850,27550
"t","ECO",9350,27550
"ct","ECO",19500,6650
"ct","FORCE_BUY",21100,11650
"ct","PISTOL_ROUND",3550,3650
"ct","ECO",16850,1250
"t","NORMAL",19750,22100
"ct","NORMAL",22600,25400
"ct","ECO",28500,6300
"ct","NORMAL",27700,23950
"ct","ECO",33200,2950
"t","NORMAL",22100,26550
"t","ECO",4650,20400
"t","NORMAL",18100,24100
"ct","ECO",8350,28000
"ct","SEMI_ECO",30200,11700
"t","FORCE_BUY",29250,16450
"t","ECO",5500,24750
"t","NORMAL",21000,26900
"ct","PISTOL_ROUND",4350,3150
"t","ECO",17400,4400
"ct","ECO",3400,16000
"t","NORMAL",22050,15500
"ct","FORCE_BUY",7050,12750
"ct","ECO",25900,7350
"t","FORCE_BUY",29900,16400
"t","NORMAL",17950,26550
"t","ECO",1700,26050
"t","NORMAL",24000,28250
"t","FORCE_BUY",13600,27250
"ct","NORMAL",19600,21200
"ct","NORMAL",27950,23250
"ct","ECO",30150,6050
"ct","NORMAL",28750,18850
"ct","PISTOL_ROUND",4200,4350
"ct","ECO",16600,5400
"ct","ECO",23050,1400
"ct","NORMAL",29450,23800
"ct","ECO",29400,4650
"ct","NORMAL",33900,27500
"ct","NORMAL",32000,24700
"ct","FORCE_BUY",33600,15800
"ct","FORCE_BUY",32000,17250
"ct","NORMAL",25550,16050
"ct","FORCE_BUY",29300,16150
"ct","SEMI_ECO",30800,12600
"ct","NORMAL",28400,22200
"ct","FORCE_BUY",29950,16300
"ct","FORCE_BUY",30950,15750
"t","PISTOL_ROUND",3850,4400
"t","PISTOL_ROUND",3900,3600
"ct","ECO",3950,11450
"t","ECO",19600,5500
"t","ECO",5350,19900
"t","ECO",2900,24800
"t","FORCE_BUY",15100,26300
"ct","ECO",6600,27950
"ct","FORCE_BUY",30000,14300
"t","SEMI_ECO",22600,9800
"t","NORMAL",20750,28600
"ct","ECO",6300,30300
"ct","ECO",29600,5700
"t","SEMI_ECO",22000,8900
"ct","NORMAL",20700,27550
"ct","FORCE_BUY",20850,11550
"t","PISTOL_ROUND",4300,4100
"t","FORCE_BUY",6900,13450
"t","ECO",1000,23050
"t","NORMAL",16300,21700
"ct","ECO",6600,23450
"t","NORMAL",23950,20300
"t","FORCE_BUY",13850,27550
"t","SEMI_ECO",10000,22000
"t","FORCE_BUY",12850,22300
"t","ECO",6200,24000
"ct","PISTOL_ROUND",3500,4200
"ct","ECO",16150,1200
"ct","NORMAL",26700,22350
"ct","NORMAL",31950,26450
"t","NORMAL",31550,20950
"t","NORMAL",22050,26900
"t","ECO",8000,25550
"t","ECO",7050,28250
"t","NORMAL",24750,28650
"ct","NORMAL",19750,27150
"ct","NORMAL",30100,27550
"t","ECO",28750,3750
"t","ECO",10350,28950
"t","PISTOL_ROUND",4150,4650
"t","SEMI_ECO",7450,16400
"t","PISTOL_ROUND",2100,19500
"t","NORMAL",23000,23150
"t","ECO",3650,22800
"ct","NORMAL",30600,23150
"ct","FORCE_BUY",33700,18100
"t","FORCE_BUY",33700,16950
"ct","NORMAL",20600,27850
"t","ECO",31600,2600
"t","FORCE_BUY",14050,26400
"t","PISTOL_ROUND",4300,4400
"t","NORMAL",8300,12350
"t","ECO",1300,22300
"ct","NORMAL",23200,24200
"ct","NORMAL",28450,22200
"ct","FORCE_BUY",29800,17250
"t","FORCE_BUY",29800,14300
"ct","NORMAL",21150,20500
"t","FORCE_BUY",25000,14000
"ct","FORCE_BUY",10200,20650
"ct","ECO",24850,8700
"ct","ECO",26550,1300
"ct","FORCE_BUY",28800,16100
"t","ECO",29050,10900
"t","NORMAL",30350,23250
"ct","PISTOL_ROUND",4250,4400
"t","FORCE_BUY",16700,8250
"t","ECO",6650,22000
"t","ECO",4400,23300
"t","NORMAL",17100,25450
"t","ECO",6450,23850
"t","NORMAL",26900,25750
"t","NORMAL",16850,25400
"ct","PISTOL_ROUND",4300,4300
"ct","ECO",17400,6450
"ct","SEMI_ECO",18050,8150
"ct","NORMAL",30150,22250
"ct","ECO",30300,6550
"ct","NORMAL",29950,26050
"ct","NORMAL",32500,23050
"t","NORMAL",27350,23400
"ct","ECO",3250,23150
"ct","NORMAL",23300,19400
"ct","ECO",22100,2650
"ct","NORMAL",29150,21200
"ct","ECO",28450,8300
"t","NORMAL",21650,26750
"t","ECO",9000,26200
"t","PISTOL_ROUND",4400,4300
"t","ECO",5800,16050
"t","SEMI_ECO",7900,19200
"t","FORCE_BUY",13650,26300
"t","PISTOL_ROUND",4550,4400
"t","SEMI_ECO",7350,16650
"t","ECO",3950,18950
"ct","NORMAL",23600,25300
"t","NORMAL",25200,19000
"t","ECO",8750,25800
"t","ECO",4900,25400
"ct","NORMAL",17850,25500
"ct","SEMI_ECO",26350,11000
"ct","ECO",28600,1300
"t","NORMAL",31700,22400
"ct","FORCE_BUY",12050,24000
"ct","ECO",31800,3650
"t","NORMAL",32500,20900
"ct","FORCE_BUY",16300,28950
"ct","PISTOL_ROUND",3700,4150
"ct","ECO",16000,4300
"ct","NORMAL",25100,18500
"t","ECO",26400,3900
"ct","NORMAL",19500,28450
"ct","FORCE_BUY",25250,14950
"ct","SEMI_ECO",28350,11000
"t","FORCE_BUY",29600,16700
"t","ECO",7550,22500
"t","ECO",4200,26000
"t","NORMAL",26950,26550
"t","ECO",4800,28150
"ct","NORMAL",29700,25700
"ct","NORMAL",29950,22800
"t","PISTOL_ROUND",3000,3650
"ct","SEMI_ECO",5750,13800
"ct","ECO",22300,1200
"t","NORMAL",27950,17350
"t","FORCE_BUY",13850,25100
"t","ECO",4400,19800
"t","NORMAL",26700,25950
"t","ECO",5050,21850
"t","NORMAL",27800,26850
"t","FORCE_BUY",15300,25950
"t","FORCE_BUY",15500,26850
"ct","NORMAL",22550,29100
"t","NORMAL",30550,27250
"t","FORCE_BUY",15600,26350
"t","SEMI_ECO",12150,27250
"t","FORCE_BUY",9050,17650
"t","ECO",7850,23800
"t","NORMAL",16750,25500
"t","SEMI_ECO",10250,24300
"ct","NORMAL",24900,25400
"t","NORMAL",23450,21000
"t","NORMAL",16050,22600
"t","NORMAL",17050,24400
"ct","NORMAL",16800,23900
"ct","FORCE_BUY",28400,15150
"t","ECO",29550,8850
"t","ECO",7150,25550
"t","ECO",5500,26700
"t","NORMAL",22950,27800
"t","PISTOL_ROUND",4450,3650
"t","FORCE_BUY",8200,16300
"t","ECO",1300,18150
"ct","NORMAL",23150,20050
"ct","NORMAL",29800,26250
"ct","ECO",30900,6800
"t","NORMAL",30950,21400
"t","ECO",1700,28200
"ct","NORMAL",21650,28250
"ct","FORCE_BUY",26800,14700
"ct","FORCE_BUY",29000,14750
"ct","ECO",32950,7450
"ct","NORMAL",32950,20000
"t","FORCE_BUY",32950,17250
"ct","NORMAL",32350,25450
"ct","PISTOL_ROUND",4250,3700
"t","SEMI_ECO",16900,7150
"t","ECO",7650,21900
"t","ECO",2250,24000
"t","NORMAL",25250,26500
"t","FORCE_BUY",14250,27950
"ct","SEMI_ECO",10850,28450
"ct","NORMAL",27550,25500
"t","NORMAL",28800,22300
"t","NORMAL",18400,25700
"ct","PISTOL_ROUND",3400,4250
"ct","ECO",15900,5000
"ct","ECO",20100,1200
"t","NORMAL",25050,26350
"t","NORMAL",22550,27350
"t","ECO",4650,26950
"t","NORMAL",28000,26450
"t","NORMAL",22750,26650
"t","FORCE_BUY",15100,27350
"t","NORMAL",30450,20300
"ct","NORMAL",21000,26950
"ct","NORMAL",22600,19450
"ct","NORMAL",23900,19050
"ct","ECO",26300,3500
"t","NORMAL",24450,25650
"ct","PISTOL_ROUND",3700,3300
"t","ECO",18800,5650
"t","ECO",3800,15550
"t","SEMI_ECO",9750,21750
"t","NORMAL",20450,14900
"t","ECO",2300,25950
"t","NORMAL",30200,27850
"ct","ECO",8250,27550
"t","NORMAL",20800,16700
"ct","ECO",6650,26300
"ct","NORMAL",25000,19600
"t","ECO",28900,10700
"t","NORMAL",17300,18550
"t","PISTOL_ROUND",3500,4250
"t","ECO",5450,17200
"t","NORMAL",11350,18000
"ct","NORMAL",21550,20050
"ct","ECO",23150,6100
"ct","NORMAL",29650,20800
"ct","ECO",26950,3700
"t","NORMAL",26950,19450
"t","NORMAL",19650,25250
"t","ECO",3100,30100
"ct","NORMAL",22350,26350
"ct","FORCE_BUY",24400,13700
"ct","ECO",25050,3600
"t","NORMAL",28900,19800
"t","NORMAL",16600,25700
"t","PISTOL_ROUND",4250,4400
"t","FORCE_BUY",8250,17200
"t","ECO",3150,12500
"t","NORMAL",21750,20200
"t","ECO",5150,26800
"ct","NORMAL",28150,26700
"ct","NORMAL",27000,19400
"ct","ECO",26850,8050
"t","NORMAL",30900,22600
"t","NORMAL",20900,25450
"ct","SEMI_ECO",10400,23400
"t","NORMAL",23850,19450
"ct","FORCE_BUY",12200,26150
"t","NORMAL",24950,22600
"ct","PISTOL_ROUND",4150,3550
"t","SEMI_ECO",15950,6950
"t","NORMAL",11200,15450
"t","ECO",1000,22550
"ct","NORMAL",26950,23900
"ct","NORMAL",26950,24300
"ct","ECO",31100,10200
"t","SEMI_ECO",30550,11650
"t","ECO",8000,22500
"t","NORMAL",21150,26600
"t","ECO",5100,18500
"ct","NORMAL",23600,25900
"ct","NORMAL",21350,24000
"ct","ECO",29050,5450
"ct","NORMAL",28000,20250
"t","PISTOL_ROUND",4100,4300
"t","ECO",5100,17850
"t","ECO",1600,20750
"t","NORMAL",24650,23400
"t","ECO",4950,28150
"ct","NORMAL",26900,28150
"t","NORMAL",31100,21850
"t","ECO",5850,28150
"ct","NORMAL",20150,28850
"t","NORMAL",27150,27350
"t","ECO",1150,11850
"t","FORCE_BUY",5050,9350
"t","NORMAL",19550,23400
"t","FORCE_BUY",9850,20100
"ct","NORMAL",22300,20700
"ct","NORMAL",25350,21900
"ct","SEMI_ECO",28550,12800
"ct","ECO",29350,7100
"ct","FORCE_BUY",32150,17900
"ct","FORCE_BUY",29800,15000
"t","NORMAL",29350,22700
"t","NORMAL",23650,23550
"t","NORMAL",11800,18100
"ct","NORMAL",16550,25400
"t","NORMAL",8450,12450
"t","ECO",3500,20250
"t","NORMAL",19350,25350
"ct","ECO",3650,24350
"ct","NORMAL",29250,18800
"t","FORCE_BUY",28600,15400
"ct","FORCE_BUY",13750,24550
"ct","FORCE_BUY",25350,15100
"ct","ECO",27000,4500
"ct","NORMAL",30350,19050
"t","NORMAL",28700,17800
"t","NORMAL",11950,18650
"ct","SEMI_ECO",12200,27450
"ct","NORMAL",25300,17150
"ct","PISTOL_ROUND",4350,3050
"ct","ECO",16050,3300
"ct","ECO",21050,1800
"ct","NORMAL",28950,21900
"ct","ECO",31850,3000
"t","NORMAL",31850,22050
"t","NORMAL",23950,22750
"t","ECO",6000,23000
"ct","FORCE_BUY",14200,25700
"ct","ECO",29050,2750
"t","NORMAL",28650,26450
"t","ECO",6650,25350
"t","ECO",1400,24950
"t","NORMAL",27700,25650
"t","PISTOL_ROUND",4300,3650
"t","PISTOL_ROUND",5050,17350
"t","ECO",1200,18750
"t","NORMAL",21750,25950
"ct","FORCE_BUY",11850,24400
"t","ECO",30250,5250
"ct","ECO",9050,26450
"t","ECO",30000,10400
"ct","ECO",8100,27150
"ct","ECO",23100,8050
"t","NORMAL",26800,21400
"ct","FORCE_BUY",15100,25800
"ct","ECO",26050,9400
"ct","NORMAL",29200,24900
"ct","SEMI_ECO",34500,14400
"t","PISTOL_ROUND",4750,3550
"t","SEMI_ECO",4350,10900
"t","ECO",3600,17300
"ct","NORMAL",22750,25650
"t","FORCE_BUY",24000,13750
"t","ECO",2200,22950
"t","NORMAL",22050,23300
"ct","ECO",2700,22500
"ct","SEMI_ECO",29800,11600
"ct","ECO",35350,12000
"ct","ECO",31000,9400
"t","FORCE_BUY",33700,19300
"t","NORMAL",29600,22800
"ct","ECO",4200,21250
"ct","FORCE_BUY",31100,18650
"ct","PISTOL_ROUND",4450,4550
"ct","ECO",14750,5500
"ct","ECO",25600,4000
"t","NORMAL",26250,19300
"t","NORMAL",18050,26600
"t","ECO",9450,25700
"t","ECO",9900,28200
"ct","FORCE_BUY",16150,26950
"t","NORMAL",19300,20450
"ct","ECO",8750,28350
"t","SEMI_ECO",19450,7750
"t","ECO",8750,24800
"t","ECO",6600,25100
"t","NORMAL",18800,26150
"ct","PISTOL_ROUND",3000,3650
"ct","SEMI_ECO",11250,4550
"ct","ECO",23350,1000
"t","NORMAL",32150,23500
"t","ECO",5150,27150
"t","ECO",5100,27050
"ct","NORMAL",22650,29600
"ct","NORMAL",21300,20900
"ct","ECO",25450,4850
"t","NORMAL",28200,19850
"t","ECO",4600,24650
"t","ECO",7500,28450
"t","NORMAL",18900,27850
"t","ECO",2950,27550
"t","NORMAL",23300,27550
"ct","PISTOL_ROUND",4400,3000
"ct","ECO",18600,2200
"ct","ECO",17600,2100
"t","NORMAL",21800,14450
"ct","NORMAL",22350,20900
"ct","ECO",24600,4150
"ct","ECO",32500,8300
"ct","FORCE_BUY",31200,15900
"t","PISTOL_ROUND",4300,4700
"t","FORCE_BUY",7250,15900
"t","ECO",1600,15950
"t","NORMAL",14450,19100
"t","ECO",4500,24950
"t","NORMAL",27300,26550
"t","NORMAL",13050,12600
"ct","NORMAL",27800,28550
"ct","NORMAL",33600,27150
"ct","ECO",29300,4100
"ct","NORMAL",29500,24450
"t","ECO",31900,6450
"t","NORMAL",15300,25350
"t","FORCE_BUY",12900,25350
"ct","NORMAL",21300,21950
"ct","PISTOL_ROUND",4300,4250
"ct","ECO",11300,1900
"t","NORMAL",22850,21050
"t","ECO",4450,25950
"ct","ECO",4950,28500
"ct","NORMAL",32500,21400
"ct","FORCE_BUY",30200,15300
"t","ECO",31200,11000
"t","NORMAL",13950,18700
"t","ECO",3300,25650
"t","NORMAL",23500,27250
"t","ECO",4650,26750
"t","NORMAL",27900,26850
"t","ECO",4900,30000
"ct","NORMAL",30850,30600
"ct","PISTOL_ROUND",3700,3600
"ct","ECO",12400,2200
"t","NORMAL",20500,17150
"ct","NORMAL",15250,24300
"ct","NORMAL",24500,17400
"ct","ECO",23250,5450
"ct","NORMAL",21750,14650
"ct","ECO",26650,7050
"t","NORMAL",25850,15750
"t","ECO",3800,21100
"t","ECO",2350,22800
"ct","NORMAL",28100,26850
"ct","NORMAL",21050,22150
"ct","ECO",28800,6600
"t","PISTOL_ROUND",5700,13600
"t","ECO",3450,17600
"ct","NORMAL",13900,23100
"t","NORMAL",20950,19250
"t","ECO",5900,29050
"t","FORCE_BUY",14400,8100
"t","FORCE_BUY",10400,20250
"t","ECO",1000,22700
"t","NORMAL",24200,26050
"t","ECO",2700,25100
"t","NORMAL",27700,26700
"t","FORCE_BUY",15100,26400
"t","SEMI_ECO",10000,26250
"t","NORMAL",22050,26250
"t","ECO",4800,23950
"ct","NORMAL",31300,27200
"ct","NORMAL",30850,24600
"t","NORMAL",30350,24200
"t","SEMI_ECO",9600,25100
"ct","PISTOL_ROUND",4350,4250
"t","SEMI_ECO",19750,7850
"t","SEMI_ECO",8400,19900
"ct","ECO",1750,23300
"ct","NORMAL",21350,16700
"ct","SEMI_ECO",24000,9400
"t","PISTOL_ROUND",3800,3600
"t","ECO",5400,15150
"t","NORMAL",26700,25300
"t","ECO",9750,28600
"t","NORMAL",27400,24600
"ct","NORMAL",17750,29000
"ct","NORMAL",23000,27350
"ct","NORMAL",26350,25850
"ct","FORCE_BUY",21150,11950
"ct","NORMAL",30700,20450
"ct","SEMI_ECO",25650,10450
"t","NORMAL",29800,24300
"t","NORMAL",22250,23150
"t","FORCE_BUY",14550,29000
"t","PISTOL_ROUND",2950,2650
"t","ECO",4000,17200
"t","ECO",2000,20000
"t","NORMAL",24050,22850
"t","ECO",4000,26850
"t","NORMAL",22500,28250
"t","ECO",7000,28550
"t","NORMAL",22650,30800
"ct","FORCE_BUY",14450,29500
"t","FORCE_BUY",17000,30500
"t","ECO",8950,30400
"ct","PISTOL_ROUND",3700,4350
"ct","SEMI_ECO",18250,7300
"ct","ECO",19350,6500
"ct","NORMAL",27650,18650
"t","NORMAL",34050,23350
"ct","FORCE_BUY",10050,18900
"ct","SEMI_ECO",30700,12050
"ct","ECO",33450,11050
"ct","FORCE_BUY",30200,14300
"t","SEMI_ECO",31150,13200
"ct","NORMAL",28750,22750
"ct","ECO",25850,2300
"ct","ECO",31300,4000
"ct","ECO",30800,9000
"t","NORMAL",3700,4300
"t","PISTOL_ROUND",8350,17750
"ct","SEMI_ECO",10500,23500
"ct","FORCE_BUY",27250,15550
"t","ECO",29000,10850
"ct","PISTOL_ROUND",4250,3700
"ct","ECO",17900,1800
"ct","NORMAL",26850,22150
"ct","ECO",32050,2400
"ct","NORMAL",30750,25650
"ct","ECO",33500,3450
"ct","NORMAL",32550,22250
"ct","ECO",34400,3600
"ct","NORMAL",35450,23400
"ct","FORCE_BUY",31000,14300
"ct","ECO",35850,13400
"ct","NORMAL",34000,22200
"t","FORCE_BUY",33600,19600
"t","NORMAL",31250,28100
"t","NORMAL",18300,22950
"ct","PISTOL_ROUND",4350,4150
"ct","NORMAL",20250,13200
"ct","ECO",23700,1400
"t","NORMAL",29450,26050
"t","FORCE_BUY",14550,27050
"t","ECO",9700,30400
"t","ECO",10000,30600
"ct","PISTOL_ROUND",4300,3050
"ct","ECO",16350,3100
"ct","ECO",21850,1600
"ct","NORMAL",24300,24250
"ct","ECO",26600,3000
"ct","NORMAL",29950,22650
"ct","SEMI_ECO",27200,11800
"ct","NORMAL",33000,20950
"ct","NORMAL",28700,24350
"ct","FORCE_BUY",29150,13300
"t","NORMAL",23450,27500
"t","FORCE_BUY",11500,21900
"t","ECO",2750,24000
"ct","NORMAL",20450,23650
"ct","SEMI_ECO",29750,12300
"ct","PISTOL_ROUND",4350,4250
"ct","ECO",17250,4100
"ct","FORCE_BUY",20550,10200
"ct","ECO",27050,4600
"ct","NORMAL",32100,26350
"t","NORMAL",24700,21900
"ct","FORCE_BUY",11200,23300
"ct","ECO",28650,2100
"ct","NORMAL",22950,23900
"ct","ECO",27750,7450
"t","NORMAL",23150,29150
"t","ECO",6900,26850
"t","NORMAL",18450,25450
"t","ECO",5250,15750
"t","ECO",1300,18100
"t","NORMAL",24450,24300
"t","ECO",2100,21600
"ct","NORMAL",18800,23100
"t","FORCE_BUY",27850,13350
"t","ECO",1700,26150
"t","ECO",1300,27750
"t","NORMAL",19250,27750
"t","ECO",3800,29200
"t","NORMAL",32400,31500
"t","SEMI_ECO",9900,24100
"t","NORMAL",26800,21900
"t","FORCE_BUY",14300,26500
"t","PISTOL_ROUND",3550,4000
"t","FORCE_BUY",7200,12300
"t","SEMI_ECO",5700,14050
"ct","FORCE_BUY",14650,25100
"ct","NORMAL",22900,21450
"ct","PISTOL_ROUND",4400,4300
"ct","ECO",20300,3750
"t","NORMAL",22950,18800
"t","ECO",3950,18600
"t","NORMAL",21250,23600
"t","ECO",3250,28050
"ct","NORMAL",24450,27450
"ct","FORCE_BUY",25750,13350
"ct","ECO",27000,6050
"t","NORMAL",31650,26100
"t","ECO",5700,27900
"t","ECO",5050,29200
"ct","NORMAL",29350,27450
"t","NORMAL",30700,27750
"t","NORMAL",4450,4200
"t","PISTOL_ROUND",8700,18950
"ct","ECO",2000,22750
"ct","ECO",26400,1800
"t","NORMAL",30650,22450
"t","ECO",7250,19500
"ct","NORMAL",26200,25100
"ct","NORMAL",29800,21950
"ct","ECO",28350,3800
"ct","NORMAL",30500,23850
"ct","NORMAL",24700,19150
"ct","NORMAL",30100,19100
"t","PISTOL_ROUND",3600,3900
"t","FORCE_BUY",7000,15150
"ct","ECO",3200,21800
"t","FORCE_BUY",28350,16950
"t","ECO",4100,25450
"t","ECO",7200,28550
"t","NORMAL",27150,26000
"t","ECO",9100,27000
"ct","NORMAL",29750,21950
"t","ECO",32650,2000
"t","ECO",2950,24300
"ct","NORMAL",17400,27100
"ct","NORMAL",25850,17300
"ct","ECO",24900,1650
"ct","FORCE_BUY",34200,16750
"t","PISTOL_ROUND",4000,4500
"t","ECO",6600,18450
"t","ECO",3000,19550
"t","NORMAL",16900,25750
"t","ECO",3750,27450
"t","NORMAL",19050,28150
"ct","NORMAL",17850,27750
"t","NORMAL",25300,27100
"ct","FORCE_BUY",15000,27450
"ct","NORMAL",27300,16400
"ct","ECO",33150,3150
"t","NORMAL",32250,25300
"ct","NORMAL",18100,25500
"t","NORMAL",25300,22800
"t","FORCE_BUY",13800,23900
"t","PISTOL_ROUND",3750,4200
